doctors,pharmacists,dentist,nurses,lab_scientists,midwifes,nurse_midwife,beds,state,ownership,registration_status,operational_days,ambulance_services
3,0,0,2,1,1,2,14,Abia,Private,Registered,All Day of The Week,1
0,0,0,0,0,0,0,5,Abia,Private,Unknown,All Day of The Week,0
1,0,0,1,0,1,1,17,Abia,Private,Registered,All Day of The Week,0
2,0,0,1,0,1,0,12,Abia,Private,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Private,Unknown,All Day of The Week,0
2,1,2,4,0,2,2,10,Abia,Private,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Private,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Private,Unknown,All Day of The Week,0
1,0,0,1,0,0,1,9,Abia,Private,Registered,All Day of The Week,0
0,0,0,0,0,0,0,1,Abia,Public,Registered,"All Day of The Week Except Sunday, Saturday",0
0,0,0,0,0,0,0,1,Abia,Public,Registered,"All Day of The Week Except Sunday, Saturday",0
0,0,0,0,0,0,0,5,Abia,Public,Unknown,All Day of The Week,0
0,0,0,0,0,0,0,1,Abia,Public,Registered,"All Day of The Week Except Sunday, Saturday",0
0,0,0,0,0,0,1,4,Abia,Public,Registered,All Day of The Week Except Friday,0
0,0,0,0,0,1,1,4,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,1,1,Abia,Public,Registered,"All Day of The Week Except Sunday, Saturday",0
3,6,3,3,4,5,10,20,Abia,Private,Registered,All Day of The Week,1
0,0,0,0,0,0,0,2,Abia,Private,Registered,"All Day of The Week Except Sunday, Saturday",0
0,1,0,1,0,0,3,24,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,4,Abia,Public,Registered,"All Day of The Week Except Sunday, Saturday",0
0,0,0,0,0,0,0,5,Abia,Private,Unknown,All Day of The Week,0
2,0,0,2,0,1,2,10,Abia,Private,Registered,All Day of The Week,0
0,0,0,3,0,2,0,10,Abia,Private,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Private,Unknown,All Day of The Week,0
2,0,0,2,0,0,0,19,Abia,Private,Registered,All Day of The Week,0
3,0,0,1,0,1,2,22,Abia,Private,Registered,All Day of The Week,0
